Source1,SourceX,SourceXX,Source,SourceX2,desc,SourceN,problem_name,Instances,feature_dec_max_range,probindex,rwalk_l,feature_sup_avg_rws,feature_inf_avg_rws,feature_inc_avg_rws,feature_lnd_avg_rws,p_disp_avg_rws,feature_sup_r1_rws,feature_inf_r1_rws,feature_inc_r1_rws,feature_lnd_r1_rws,old_dec_min_range,old_dec_max_range,feature_decdist,feature_obdist,feature_obclust_n,feature_obclust_min,feature_obclust_max,feature_obclust_range,feature_obdist_max,feature_obdist_mean,feature_obdist_iqr_mean,feature_mdl_r2,feature_range_coeff,feature_rankprop,decsize,probsize,feature_kurt_rank,feature_kurt_avg,feature_kurt_min,feature_kurt_max,feature_kurt_rnge,nbrs_fnd,Hx,feature_Hy,feature_Hxy,feature_signif,feature_min_nbrdist,obdisc_med,kurt_med,med_decdist,feature_avg_nbr_rank_best,feature_min_nbr_rank_best,feature_max_nbr_rank_best,feature_aep,algo_GrEA,algo_HypE,algo_IBEA,algo_MOEAD,algo_NSGAII,algo_SPEA2
BT,existing,existing,existing,BT,disbias_d1,existing2,BT1,BT1_0,1,0,11000,0.4109,0.3792,0.2099,0.2894,123.5543924,0.232889189,0.21849146,0.067079129,-0.0262519,0,0.00044205,1.896982802,2.305766871,3,0.318909091,0.346272727,0.027363636,7.000321873,2.305766871,2.138310773,0.76253637,64.54976687,0.001454545,30,2,2.148369802,2.921790966,2.858162011,2.98541992,0.127257909,1,-0.018629315,2.565777872,3.503078856,-0.372569391,29.76268092,2.171633631,2.921790966,2.0038993,39.76704545,17.27272727,61.09090909,0.27507031,0.318111294,0.32731788,0.334622736,0.308328282,0.327460922,0.31811328
BT,existing,existing,existing,BT,disbias_d2,existing2,BT2,BT2_0,1,0,11000,0.4089,0.3835,0.2076,0.2867,135.8293073,0.217789834,0.201040602,0.051780626,0.005889525,0,0.00044205,1.810904635,1.831373378,3,0.321545455,0.344090909,0.022545455,5.886757495,1.831373378,1.970484152,0.76564264,67.17366662,0.001363636,30,2,2.159402132,2.916489267,2.856722449,2.976256085,0.119533636,1,-0.018629315,2.762262725,3.681158719,-0.33940483,31.77560519,1.607763983,2.916489267,1.98053781,38.41258741,18.54545455,60.72727273,0.30118216,1.263778548,1.26721049,1.34176028,1.182982804,1.303398444,1.293894123
BT,existing,existing,existing,BT,posbias,existing2,BT3,BT3_0,1,0,11000,0.4203,0.3759,0.2038,0.2751,117.7440311,0.251940176,0.240127019,0.05866339,0.022947853,0,0.00044205,1.683056302,1.419171195,3,0.309545455,0.373454545,0.063909091,4.073630426,1.419171195,1.487903843,0.770174447,67.99908698,0.001,30,2,2.143756176,2.923356262,2.885550506,2.961162017,0.075611511,1,-0.018629315,2.460748072,3.383888663,-0.382716913,28.20458109,1.342322995,2.923356262,1.804255305,43.14545455,15.72727273,66,0.313392511,0.4216771,0.438031433,0.451989261,0.405125593,0.441596325,0.425942279
BT,existing,existing,existing,BT,posbias,existing2,BT4,BT4_0,1,0,11000,0.4104,0.3733,0.2163,0.3016,128.2577529,0.227165219,0.197793627,0.058440465,-0.017838446,0,0.00044205,1.86154204,2.046115333,3,0.320545455,0.342818182,0.022272727,6.591277449,2.046115333,1.775529149,0.752296342,64.40463966,0.001545455,30,2,2.119657175,2.919501918,2.851485905,2.98751793,0.136032025,1,-0.018629315,2.619908128,3.559691349,-0.365819139,32.26272431,1.86116951,2.919501918,1.943680328,42.92513369,16.63636364,79.72727273,0.297780934,0.425658792,0.453104257,0.4769842,0.410988559,0.450762389,0.435021718
BT,existing,existing,existing,BT,disc,existing2,BT5,BT5_0,1,0,11000,0.4089,0.3801,0.211,0.2935,125.6536903,0.214565363,0.2120556,0.063285507,-0.010137675,0,0.00044205,1.905669306,2.028295901,3,0.321,0.346363636,0.025363636,6.40405477,2.028295901,2.026750555,0.736347434,64.6092274,0.001818182,30,2,2.116321003,2.907696952,2.829973983,2.98541992,0.155445937,1,-0.018629315,2.595305471,3.527308023,-0.366289008,27.5025799,1.912583805,2.907696952,2.013490787,43.02392344,16.36363636,90.36363636,0.29348298,0.319638548,0.330586702,0.344796184,0.306036469,0.331369396,0.324448856
BT,existing,existing,existing,BT,nonlin_ps,existing2,BT6,BT6_0,1,0,11000,0.4417,0.4273,0.131,0.2079,220.1896503,0.14686404,0.107393742,-0.038347125,0.040131449,0,0.00044205,1.682539923,1.059168315,2,0.348909091,0.651090909,0.302181818,2.862325938,1.059168315,0.997243523,0.059523202,54.79457999,0.001,30,2,1.929894399,3.326209178,3.168467839,3.483950517,0.315482678,1,-0.018629315,2.985022625,4.131672744,-0.390375411,44.38578147,0.901378268,3.326209178,1.868318219,96.1322314,59.27272727,130.3636364,0.315948026,1.602158038,1.672559726,1.629581804,1.693149442,1.616450757,1.37604846
BT,existing,existing,existing,BT,nonlin_PS,existing2,BT7,BT7_0,2,0,11000,0.4337,0.4486,0.1147,0.1758,1150.575914,0.013042921,0.015117769,0.009040741,0.025287961,0,0.000427097,0,0,2,0.465727273,0.534272727,0.068545455,0,0,0,-0.000439765,7.087038484,0.002727273,30,2,1.812538664,2.476762559,2.46448223,2.489042887,0.024560657,0.997,20.08635095,6.029668395,27.42905105,-0.217761843,0,0,2.476762559,0,11.66666667,7.363636364,16.63636364,0.331000442,1.592584983,1.662124923,1.653328519,1.678832847,1.642603275,1.532834951
BT,existing,existing,existing,BT,mm,existing2,BT8,BT8_0,1,0,11000,0.4348,0.4235,0.1417,0.2145,1222.07262,0.124589038,0.122764463,0.030206123,0.042869308,0,0.00044205,1.679874406,6.222542094,2,0.347090909,0.652909091,0.305818182,14.05079254,6.222542094,6.675417007,0.050921549,53.52744965,0.000454545,30,2,1.961549856,3.438369662,3.435938753,3.44080057,0.004861817,1,-0.018629315,6.472128635,7.736824745,-0.198284907,273.9077852,5.143598953,3.438369662,1.955471556,102.1090909,83.36363636,132.0909091,0.316113834,0.373156901,0.410633351,0.392645728,0.24227223,0.382285407,0.378940194
BT,existing,existing,existing,BT,disbias_d1,existing3,BT9,BT9_0,1,0,11000,0.3092,0.2701,0.4207,0.5293,131.711996,0.094702444,0.112928625,0.037388461,0.029690666,0,0.00044205,2.002376192,1.791667464,3,0.310272727,0.373272727,0.063,4.421385461,1.791667464,1.121144062,0.695100436,12.1869852,0.006090909,30,3,2.415888948,2.834585664,2.823500009,2.850960488,0.027460479,1,-0.018629315,3.567247407,4.616780416,-0.299436008,43.31966711,1.728415693,2.829296496,2.034230902,9.893682589,3.181818182,16.72727273,0.322839668,0.460751812,0.533200588,0.514459126,0.514063895,0.404416607,0.420854359
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F1,IMMOEA_F1_0,1,0,11000,0.337,0.3408,0.3222,0.4481,974.0779916,0.129372696,0.106840784,0.017115136,0.040289628,0,0.00044205,1.857189694,11.65292168,20,0.001545455,0.085181818,0.083636364,39.28689102,11.65292168,12.28465221,0.808760666,29.57407975,0.002,30,2,2.122225625,2.384890628,1.780940073,2.988841183,1.20790111,1,-0.018629315,3.436671369,4.232074076,-0.236866414,173.2444827,9.800399047,2.384890628,1.939618049,28.80952381,13.90909091,48.54545455,0.333471132,1.796050363,1.666163518,1.814547341,1.946016185,1.822504668,1.831804025
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F10,IMMOEA_F10_0,10,0,11000,0.3425,0.3506,0.3069,0.4399,7091.8913,0.024705296,0.064534678,0.070703003,-0.029461747,0,9.000158088,19.88561863,79.389337,20,0.002363636,0.079090909,0.076727273,292.2765036,79.389337,78.71260432,0.295131823,39.05350629,0.001454545,30,2,2.214593482,2.187965482,1.786822353,2.589108611,0.802286257,1,66.76164294,5.23983634,72.70231699,-0.133751832,1185.043382,62.45137478,2.187965482,20.87812795,45.62424242,36.63636364,54.63636364,0.290432814,0.027534467,0.021767976,0.03475117,0.031645116,0.026565476,0.030523535
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F2,IMMOEA_F2_0,1,0,11000,0.3485,0.3524,0.2991,0.4212,943.2317696,0.137453011,0.118928053,0.019298205,0.03650141,0,0.00044205,1.818011124,11.35243575,20,0.002,0.077,0.075,37.09435891,11.35243575,11.48044481,0.800654595,31.44364318,0.001727273,30,2,2.095019791,2.383117406,1.780940073,2.985294738,1.204354665,1,-0.018629315,3.498278293,4.220041867,-0.211644937,184.664685,9.617842555,2.383117406,1.880716034,31.21212121,15.09090909,52.45454545,0.336008762,1.670256883,1.663007812,1.683210862,1.920492333,1.684559868,1.707767288
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F3,IMMOEA_F3_0,1,0,11000,0.3908,0.3842,0.225,0.3409,942.8477846,0.043284243,0.060639453,0.069909533,0.040535114,0,0.00044205,1.841212748,11.16868097,20,0.001363636,0.090363636,0.089,29.49494995,11.16868097,15.41372973,0.236372404,44.26524196,0.001363636,30,2,2.202298158,6.736609847,2.985793859,10.48742583,7.501631976,1,-0.018629315,0.465165745,3.891064243,-7.404947267,184.1999206,9.882249373,6.736609847,1.933252088,49.15584416,18.45454545,90.45454545,0.297475646,1.936674799,1.977402539,1.944837881,1.809518442,1.933411193,1.916728298
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing3,IMMOEA_F4,IMMOEA_F4_0,1,0,11000,0.2924,0.2953,0.4123,0.5318,6600.39279,0.12720194,0.085530604,0.071442042,0.128718949,0,0.00044205,2.157151528,82.75967453,3,0.224727273,0.541363636,0.316636364,184.8166572,82.75967453,66.95427394,0.294461577,7.683386222,0.006363636,30,3,2.279346588,3.004462166,2.554739283,3.246766565,0.692027281,1,-0.018629315,14.3624802,15.84284705,-0.104368893,1149.322164,90.38733028,3.211880652,2.187389936,12.99701937,6.636363636,22.81818182,0.326011934,1.586485311,1.501463552,1.666943992,1.535022557,1.619424936,1.609816529
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F5,IMMOEA_F5_0,1,0,11000,0.2372,0.2277,0.5351,0.6876,128.7677124,0.009842277,0.099344451,0.14748209,0.119009542,0,0.00044205,1.992068404,1.552018508,20,0.006818182,0.161727273,0.154909091,5.851474461,1.552018508,1.678775553,0.443536428,67.16170458,0.008181818,30,2,5.664547953,2.598229254,1.780940073,3.415518435,1.634578362,1,-0.018629315,-0.155455115,1.880412691,13.21601495,8.46419307,1.258505228,2.598229254,2.009405351,22.99878788,3.181818182,52.27272727,0.316967537,1.933596206,1.892933923,1.93597293,1.951740689,1.939965125,1.938254892
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F6,IMMOEA_F6_0,1,0,11000,0.2544,0.2465,0.4991,0.6564,129.2881721,0.009922117,0.095919364,0.152009805,0.104442026,0,0.00044205,1.963245189,1.519862686,20,0.018727273,0.102636364,0.083909091,5.495953235,1.519862686,1.710580239,0.421966858,68.04327404,0.006545455,30,2,5.440484629,2.316989328,1.780940073,2.853038583,1.07209851,1,-0.018629315,0.19229218,1.856490992,-8.751412168,12.48181954,1.244674696,2.316989328,1.98951163,24.90752351,3.636363636,57.09090909,0.308233231,1.85676284,1.797551548,1.868939143,1.913241463,1.865702566,1.875775168
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F7,IMMOEA_F7_0,1,0,11000,0.3906,0.3759,0.2335,0.3701,133.5544588,-0.018105836,-0.010199601,-0.000709224,0.037452584,0,0.00044205,2.023918083,1.584383088,20,0.012272727,0.138181818,0.125909091,4.312949053,1.584383088,1.784185757,0.013840448,14.77136871,0.003636364,30,2,2.253866806,6.677917999,2.868410164,10.48742583,7.619015671,1,-0.018629315,-2.041297943,1.549450237,1.768177697,10.51598783,1.405011501,6.677917999,2.0668065,58.96411483,33.90909091,98.81818182,0.320691509,1.912052218,1.956603267,1.928945534,1.874604979,1.895204953,1.886509904
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing3,IMMOEA_F8,IMMOEA_F8_0,1,0,11000,0.313,0.3224,0.3646,0.5075,494.7716182,0.038387603,0.094612637,0.101593463,0.010656201,0,0.00044205,2.199476574,9.614955463,3,0.145909091,0.704818182,0.558909091,21.16541725,9.614955463,9.282144031,0.213450152,25.27286698,0.012090909,30,3,2.172009854,4.898176149,4.681520099,5.075793098,0.394272999,1,-0.018629315,5.073826774,7.770505178,-0.535159721,46.75228506,11.77092706,4.937215251,2.22213966,19.55098814,6.727272727,35.36363636,0.28513017,1.716813931,1.493104508,1.74736705,1.598021669,1.645450212,1.667373399
IMMOEA,existing,existing,existing,IMMOEA,psshape,existing2,IMMOEA_F9,IMMOEA_F9_0,10,0,11000,0.055,0.0593,0.8857,0.9401,56.58161727,0.081801174,0.034963896,0.010670263,0.073385433,0,9.000158088,21.40182472,0.42645924,20,0.015363636,0.060545455,0.045181818,1.865809089,0.42645924,0.358793947,0.570923628,19.00102617,0.015818182,30,2,3.75448141,2.078993498,1.786822353,2.371164643,0.58434229,1,66.76164294,-2.542127559,67.22238972,1.181244554,11.57842862,0.30743134,2.078993498,21.5386651,10.65081276,4.545454545,17.54545455,0.323431818,1.94131496,1.937051083,1.953310914,1.932179706,1.941341333,1.942239193
IMOP,existing,existing,existing,IMOP,deg_conv,existing2,IMOP1,IMOP1_0,1,0,11000,0.5055,0.4835,0.011,0.0928,21.51686147,0.150637581,0.150019417,0.017496756,0.085248044,0,8.48E-05,0.622208181,0.018860521,20,0.008454545,0.071636364,0.063181818,0.044589632,0.018860521,0.024446001,0.00737178,69.34843191,0.000363636,10,2,2.022726927,2.824379294,2.824034132,2.824724455,0.000690323,1,-0.051920997,-2.980904081,0.125288615,1.059448277,2.943968304,0.016357248,2.824379294,0.761244187,105.2272727,45.90909091,165.7272727,0.301403267,1.938880971,1.998074564,1.998204413,1.994662136,1.999335718,1.995649263
IMOP,existing,existing,existing,IMOP,deg_concave,existing2,IMOP2,IMOP2_0,1,0,11000,0.4909,0.4717,0.0374,0.1021,21.7200509,0.13797711,0.149920984,-0.064462601,0.02624946,0,8.48E-05,0.383678932,0.032864726,10,0.020545455,0.153454545,0.132909091,0.073897293,0.032864726,0.054395946,0.010155346,40.18777376,0.000272727,10,2,2.067369531,2.84752646,2.824627515,2.870425405,0.04579789,1,-0.051920997,-1.71242525,0.207992114,1.151780705,3.742177845,0.004204777,2.84752646,0.29884577,34.63636364,25.63636364,43.63636364,0.342954397,1.715056676,1.69606057,1.711902612,1.69614961,1.703683867,1.711131196
IMOP,existing,existing,existing,IMOP,deg_disc,existing2,IMOP3,IMOP3_0,1,0,11000,0.4928,0.4709,0.0363,0.1041,21.86069382,0.139593175,0.148395702,0.036521392,0.00952379,0,8.48E-05,0,0,10,0.021181818,0.155090909,0.133909091,0,0,0,0.085627256,79.09372834,9.09E-05,10,2,2.14403629,2.844671526,2.82392228,2.865420771,0.041498491,1,-0.051920997,-1.736774083,0.330833496,1.22038243,2.905027296,0,2.844671526,0,35.27272727,35.27272727,35.27272727,0.293965846,1.805228746,1.672101589,1.964242287,1.806122548,1.777790382,1.750131015
IMOP,existing,existing,existing,IMOP,pfshape,existing3,IMOP4,IMOP4_0,1,0,11000,0.4323,0.4034,0.1643,0.2192,20.16927225,0.109991209,0.115662556,-0.007283293,0.005859824,0,8.48E-05,0.862457632,0.078430279,10,0.020818182,0.150636364,0.129818182,0.28687367,0.078430279,0.085545621,0.237717688,42.6511511,0.001636364,10,3,2.182697509,3.5132637,2.831233025,4.817744714,1.986511689,1,-0.051920997,-4.578181858,-1.635696157,0.654060234,2.558075571,0.059656487,2.89081336,0.864475643,21.25568182,3.545454545,45.72727273,0.338519055,1.835833779,1.435337529,1.828342464,1.607089653,1.750505264,1.748081772
IMOP,existing,existing,existing,IMOP,pfshape,existing3,IMOP5,IMOP5_0,1,0,11000,0.5045,0.4848,0.0107,0.0952,26.59085403,0.150190649,0.148172561,0.181182408,0.080494724,0,8.48E-05,0.738103897,0.234056839,20,9.09E-05,0.090363636,0.090272727,0.524245003,0.234056839,0.275013913,0.002043531,254.0821876,0.000363636,10,3,1.85333995,2.882530927,2.832418004,2.96175196,0.129333955,1,-0.051920997,-5.949524645,0.484145181,1.090102354,4.313857762,0.125644763,2.853422817,0.869548174,268.5681818,229.9090909,305.1818182,0.284991049,1.962513701,1.898008878,1.963054091,1.665728893,1.955906201,1.958417544
IMOP,existing,existing,existing,IMOP,pfshape,existing3,IMOP6,IMOP6_0,1,0,11000,0.393,0.3964,0.2106,0.2775,39.71206431,0.136681655,0.123651371,0.016677073,0.01133406,0,8.48E-05,1.04003286,0.333067335,2,0.127363636,0.872636364,0.745272727,1.27243983,0.333067335,0.271049605,0.459510552,52.41343265,0.003,10,3,3.07200492,5.722950198,4.797714453,7.456516115,2.658801662,1,-0.051920997,-5.129998365,2.378843016,1.473833292,3.75171026,0.232550513,4.914620025,1.052529796,19.48601399,2.454545455,85.09090909,0.308090878,1.934258632,1.959764133,1.963137675,1.873183176,1.954396481,1.919746498
IMOP,existing,existing,existing,IMOP,pfshape,existing3,IMOP7,IMOP7_0,1,0,11000,0.3838,0.3696,0.2466,0.3448,30.20144728,0.100140678,0.211639177,0.280560903,0.207772062,0,8.48E-05,0.988099186,0.167946453,19,9.09E-05,0.223363636,0.223272727,0.562555254,0.167946453,0.158350529,0.548090362,72.35731607,0.005727273,10,3,5.895459956,25.55974155,16.64047303,31.58413135,14.94365832,1,-0.051920997,-5.69853556,5.096864696,1.903527869,2.638008503,0.142921635,28.45462027,0.986636203,6.503030303,2.454545455,25.63636364,0.338890103,1.508743308,1.481655386,1.482435033,1.484440346,1.498955301,1.486081967
IMOP,existing,existing,existing,IMOP,pfshape,existing3,IMOP8,IMOP8_0,1,0,11000,0.2819,0.292,0.4261,0.5625,58.55325013,0.051829517,0.059107208,0.05185567,0.11030595,0,8.48E-05,1.096459397,1.122734855,19,0.002909091,0.107636364,0.104727273,4.821088402,1.122734855,1.103788036,0.479848873,9.975449097,0.010454545,10,3,2.749883531,14.300996,3.317785242,31.60872511,28.29093986,1,-0.051920997,-6.114921507,0.469200591,1.085221304,8.329898369,0.965799304,7.976477663,1.096152054,6.524312896,1.545454545,19.63636364,0.290251246,1.961978838,1.834948657,1.971968171,1.807325483,1.889956459,1.921423929
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F1,MOEADDE_F1_0,1,0,11000,0.3722,0.3774,0.2504,0.4046,47.38935254,0.064557144,0.132902732,0.152792994,0.090834996,0,0.00044205,1.858403546,0.462468464,5,0.133545455,0.310818182,0.177272727,1.61432481,0.462468464,0.419304772,0.170818293,37.23423416,0.003272727,30,2,2.661005422,3.380141088,3.356589438,3.403692739,0.047103301,1,-0.018629315,-0.060863527,1.200746103,21.03458364,8.834803009,0.39846692,3.380141088,1.891492691,42.1684492,13.54545455,85.90909091,0.296081121,1.95950984,1.960966117,1.959649491,1.966075355,1.959608742,1.962198855
MOEADDE,existing,existing,existing,MOEADDE,psshape,existing2,MOEADDE_F2,MOEADDE_F2_0,2,0,11000,0.3783,0.3908,0.2279,0.3268,101.7934015,0.095143511,0.096659469,0.011838754,0.008192472,0,0.000427097,3.865789521,1.071014637,2,0.490454545,0.509545455,0.019090909,3.14312136,1.071014637,0.984766349,0.007175036,12.59771299,0.001181818,30,2,2.153436121,2.913760495,2.884256579,2.943264411,0.059007833,0.997,20.08635095,1.648068069,22.73021153,-0.604218068,0,0.896238519,2.913760495,4.042506091,72.32867133,54.18181818,81.63636364,0.302570163,1.899698227,1.896713147,1.901081403,1.833808273,1.901091283,1.89903363
